batsman,sum(batsman_runs),perc_runs
JM Kemp,26,96.2963
S Tyagi,3,100.0000
RS Gavaskar,2,100.0000
SE Bond,1,100.0000
S Ladda,0,0.0000
DP Nannes,4,100.0000
KA Pollard,3023,94.8243
DR Martyn,19,90.4762
S Narwal,37,94.8718
MJ Lumb,278,93.6027
Bipul Sharma,187,98.4211
AB Barath,42,95.4545
FY Fazal,183,88.4058
AC Voges,181,95.2632
MD Mishra,237,93.3071
UT Yadav,122,92.4242
J Theron,10,90.9091
SJ Srivastava,5,100.0000
R Sharma,66,92.9577
Mandeep Singh,1659,96.0625
KM Jadhav,1141,95.0833
SW Tait,23,100.0000
KB Arun Karthik,51,79.6875
KAJ Roach,10,100.0000
PD Collingwood,203,95.3052
CK Langeveldt,8,100.0000
VS Malik,7,77.7778
A Mithun,34,91.8919
AP Dole,34,97.1429
AN Ahmed,36,94.7368
RS Sodhi,4,100.0000
DE Bollinger,21,87.5000
S Sriram,31,79.4872
B Sumanth,35,97.2222
C Madan,15,68.1818
AG Paunikar,49,87.5000
MR Marsh,225,96.1538
AJ Finch,2005,93.6478
STR Binny,880,95.3413
Harmeet Singh,18,100.0000
IR Jaggi,76,90.4762
DT Christian,446,95.5032
MA Agarwal,1690,95.2113
RV Gomez,50,83.3333
AUK Pathan,39,92.8571
UBT Chand,300,91.7431
DJ Jacobs,92,90.1961
NJ Rimmington,1,100.0000
Sunny Singh,43,97.7273
AL Menaria,401,96.3942
WD Parnell,63,85.1351
JJ van der Wath,18,94.7368
R Ninan,3,75.0000
S Aravind,59,92.1875
MS Wade,22,95.6522
TD Paine,10,66.6667
JEC Franklin,327,95.6140
SB Wagh,2,100.0000
AC Thomas,20,100.0000
Shakib Al Hasan,746,93.8365
DH Yagnik,170,90.9091
S Randiv,2,100.0000
BJ Haddin,18,100.0000
NLTC Perera,422,92.1397
NL McCullum,26,92.8571
JE Taylor,3,75.0000
J Syed Mohammad,29,96.6667
RN ten Doeschate,326,96.4497
TR Birt,75,94.9367
AG Murtaza,10,100.0000
Harpreet Singh,20,100.0000
M Klinger,73,94.8052
AC Blizzard,120,95.2381
I Malhotra,7,100.0000
L Ablish,0,
CA Ingram,205,95.7944
S Nadeem,39,84.7826
P Parameswaran,1,50.0000
CJ Ferguson,98,97.0297
VR Aaron,50,96.1538
AA Chavan,12,100.0000
ND Doshi,0,
B Kumar,183,93.3673
Y Gnaneswara Rao,19,95.0000
S Rana,91,94.7917
BA Bhatt,6,100.0000
F du Plessis,2302,96.4390
RE Levi,83,93.2584
GJ Maxwell,1505,94.2982
SPD Smith,2333,95.8898
SA Yadav,2024,96.6110
MN Samuels,161,92.5287
KK Cooper,116,95.0820
JP Faulkner,527,95.1264
HV Patel,128,94.8148
DAJ Bracewell,12,100.0000
DJ Harris,111,93.2773
Ankit Sharma,87,97.7528
SP Narine,892,93.0136
GB Hogg,22,100.0000
RR Bhatkal,0,
CJ McKay,8,100.0000
N Saini,140,96.5517
DA Miller,1850,94.4842
Azhar Mahmood,388,94.8655
P Negi,365,93.1122
RJ Peterson,32,86.4865
KMDN Kulasekara,5,83.3333
A Ashish Reddy,280,97.2222
V Pratap Singh,0,
BB Samantray,125,94.6970
MJ Clarke,98,94.2308
Gurkeerat Singh,511,94.4547
AP Majumdar,87,96.6667
PA Reddy,164,95.3488
K Upadhyay,12,100.0000
P Awana,5,100.0000
AD Russell,1517,94.5761
A Chandila,4,100.0000
CA Lynn,1280,95.9520
Sunny Gupta,0,
MC Juneja,125,90.5797
KK Nair,1480,96.5427
GH Vihari,284,93.7294
R Shukla,19,100.0000
MDKJ Perera,14,93.3333
AS Rajpoot,26,96.2963
B Laughlin,5,100.0000
M Vohra,1012,94.8454
JD Unadkat,64,96.9697
Mohammed Shami,56,94.9153
BMAJ Mendis,23,100.0000
R Rampaul,51,91.0714
CH Morris,551,96.4974
SV Samson,2584,97.0334
SMSM Senanayake,10,90.9091
BJ Rohrer,193,94.1463
KL Rahul,2647,96.5706
Q de Kock,1959,95.6076
R Dhawan,153,96.2264
MG Johnson,167,91.2568
LJ Wright,106,96.3636
IC Pandey,0,
CM Gautam,169,84.9246
X Thalaivan Sargunam,10,100.0000
DJG Sammy,295,93.0599
KW Richardson,36,100.0000
MM Sharma,122,96.0630
UA Birla,7,77.7778
Parvez Rasool,17,94.4444
Sandeep Sharma,44,89.7959
S Kaul,12,100.0000
Sachin Baby,137,94.4828
PV Tambe,18,90.0000
NM Coulter-Nile,77,96.2500
CJ Anderson,538,96.2433
NJ Maddinson,20,100.0000
AR Patel,913,94.9064
JJ Bumrah,40,93.0233
JDS Neesham,61,95.3125
TG Southee,115,97.4576
MA Starc,96,89.7196
BR Dunk,40,90.9091
RR Rossouw,53,98.1481
Shivam Sharma,5,100.0000
YS Chahal,22,81.4815
LMP Simmons,1079,95.7409
VH Zol,29,100.0000
Imran Tahir,33,97.0588
BCJ Cutting,238,94.8207
BE Hendricks,1,100.0000
S Gopal,164,96.4706
M de Lange,1,100.0000
R Tewatia,366,94.8187
JO Holder,104,95.4128
Karanveer Singh,12,100.0000
SS Iyer,2200,96.0699
DJ Hooda,625,95.8589
Anureet Singh,36,90.0000
KS Williamson,1619,96.7723
SA Abbott,15,93.7500
J Suchith,54,94.7368
RG More,2,100.0000
D Wiese,127,93.3824
HH Pandya,1349,93.4211
SN Khan,441,97.1366
MJ McClenaghan,85,92.3913
DJ Muthuswami,1,100.0000
PJ Cummins,223,95.7082
SN Thakur,48,100.0000
JC Buttler,1714,95.4875
CR Brathwaite,181,91.4141
MP Stoinis,825,95.2656
Ishan Kishan,1211,96.5710
C Munro,177,95.6757
P Sahu,19,100.0000
KH Pandya,1000,95.2381
AD Nath,90,98.9011
MJ Guptill,270,98.1818
KJ Abbott,13,100.0000
TM Head,205,95.7944
M Ashwin,8,100.0000
NS Naik,31,86.1111
RR Pant,2079,95.8948
SW Billings,334,94.8864
KC Cariappa,24,100.0000
PSP Handscomb,6,100.0000
Swapnil Singh,12,100.0000
J Yadav,6,75.0000
UT Khawaja,127,94.7761
HM Amla,577,96.1667
F Behardien,14,100.0000
A Zampa,5,100.0000
BB Sran,10,83.3333
N Rana,1437,96.4430
S Kaushik,0,
ER Dwivedi,24,82.7586
CJ Jordan,32,88.8889
A Choudhary,25,100.0000
TS Mills,8,88.8889
BA Stokes,920,96.7403
JJ Roy,179,95.7219
Vishnu Vinod,19,100.0000
Basil Thampi,32,88.8889
CR Woakes,63,100.0000
RA Tripathi,988,95.8293
DL Chahar,78,92.8571
V Shankar,654,96.3181
Rashid Khan,139,90.8497
LH Ferguson,44,97.7778
RD Chahar,17,100.0000
C de Grandhomme,303,95.5836
AF Milne,7,100.0000
S Badree,13,86.6667
Mohammad Nabi,146,96.0526
AJ Tye,91,87.5000
K Rabada,125,93.2836
Kuldeep Yadav,57,96.6102
Washington Sundar,186,94.4162
DM Bravo,6,100.0000
AR Bawne,12,100.0000
SP Jackson,38,100.0000
Ankit Soni,7,77.7778
TA Boult,12,100.0000
E Lewis,430,92.6724
MA Wood,1,33.3333
RK Singh,77,91.6667
DJM Short,115,93.4959
K Gowtham,186,97.3822
TK Curran,106,97.2477
M Markande,27,87.0968
B Stanlake,5,100.0000
Mujeeb Ur Rahman,11,84.6154
A Dananjaya,4,100.0000
Shivam Mavi,23,95.8333
Shubman Gill,939,97.1044
Mohammed Siraj,46,88.4615
H Klaasen,66,97.0588
RK Bhui,7,87.5000
JC Archer,195,95.1220
PP Shaw,826,97.1765
LE Plunkett,1,100.0000
Mustafizur Rahman,1,100.0000
AD Hales,148,97.3684
MK Lomror,87,97.7528
DR Shorey,13,81.2500
MM Ali,309,95.3704
M Prasidh Krishna,3,100.0000
P Chopra,8,100.0000
JPR Scantlebury-Searles,8,100.0000
Abhishek Sharma,143,92.2581
IS Sodhi,7,70.0000
SO Hetmyer,275,96.8310
S Dube,169,96.5714
NA Saini,29,96.6667
JM Bairstow,790,94.9519
Rasikh Salam,5,100.0000
KMA Paul,18,81.8182
N Pooran,521,96.6605
P Ray Barman,19,95.0000
S Lamichhane,0,
SM Curran,281,97.9094
GC Viljoen,3,50.0000
Avesh Khan,4,100.0000
HF Gurney,1,100.0000
SD Lad,15,100.0000
AS Joseph,15,100.0000
MJ Santner,32,91.4286
R Parag,246,94.9807
JL Denly,0,
LS Livingstone,70,97.2222
KK Ahmed,0,
AJ Turner,3,75.0000
SE Rutherford,73,89.0244
Harpreet Brar,20,90.9091
Y Prithvi Raj,0,
P Simran Singh,31,96.8750
JL Pattinson,15,100.0000
A Nortje,7,100.0000
T Banton,18,90.0000
D Padikkal,473,94.2231
YBK Jaiswal,40,100.0000
RD Gaikwad,204,92.7273
TU Deshpande,21,100.0000
Abdul Samad,111,98.2301
PK Garg,133,93.6620
JR Philippe,78,90.6977
Kartik Tyagi,4,100.0000
CV Varun,10,76.9231
KL Nagarkoti,22,95.6522
I Udana,15,100.0000
Ravi Bishnoi,7,100.0000
Shahbaz Ahmed,1,100.0000
AT Carey,32,94.1176
N Jagadeesan,33,94.2857
T Natarajan,3,100.0000
P Dubey,7,87.5000
SS Cottrell,0,
Arshdeep Singh,0,
DR Sams,0,
